"name","variable","value"
"Daubentonia_madagascariensis","Kindergarten + Primary school",118
"Dendroaspis_angusticeps","Kindergarten + Primary school",217
"Desmodus_rotondus","Kindergarten + Primary school",38
"Didelphis_virginiana","Kindergarten + Primary school",89
"Equus_caballus","Kindergarten + Primary school",35
"Eudyptes chrysolophus","Kindergarten + Primary school",23
"Eudyptes_chrysocome","Kindergarten + Primary school",128
"Eulemur _coronatus","Kindergarten + Primary school",139
"Eulemur _coronatus2","Kindergarten + Primary school",5
"Euphractus _sexcinctus","Kindergarten + Primary school",75
"Evarcha_arcuata","Kindergarten + Primary school",134
"Felis_catus","Kindergarten + Primary school",107
"Felis_silvestris","Kindergarten + Primary school",54
"Geronticus_eremita","Kindergarten + Primary school",131
"Giraffa_camelopardalis_reticulata","Kindergarten + Primary school",94
"Gorilla_Gorilla_Beringei","Kindergarten + Primary school",132
"Gorilla_gorilla_gorilla","Kindergarten + Primary school",181
"Gulo_gulo","Kindergarten + Primary school",105
"Gulo_gulo2","Kindergarten + Primary school",106
"Gymnogyps_californianus","Kindergarten + Primary school",193
"Gypaetus_barbatus","Kindergarten + Primary school",129
"Gypaetus_barbatus2","Kindergarten + Primary school",85
"Gyps_rueppelli","Kindergarten + Primary school",100
"Haematopus_ater","Kindergarten + Primary school",74
"Harpia_Harpyja","Kindergarten + Primary school",156
"Helarctos_malayanus","Kindergarten + Primary school",96
"Hemicentetes_semispinosus","Kindergarten + Primary school",99
"Heterocephalus_glaber","Kindergarten + Primary school",135
"Hippopotamus_amphibius","Kindergarten + Primary school",117
"Hyaena_hyaena","Kindergarten + Primary school",205
"Hyles_euphorbiae","Kindergarten + Primary school",76
"Hylobates_agilis","Kindergarten + Primary school",20
"Hypsignathus_monstrosus","Kindergarten + Primary school",164
"Iguana_iguana","Kindergarten + Primary school",159
"Iguana_iguana2","Kindergarten + Primary school",179
"Incilius_alvarius","Kindergarten + Primary school",124
"Incilius_alvarius2","Kindergarten + Primary school",93
"Intellagama_lesueurii","Kindergarten + Primary school",33
"Laticauda_laticaudata","Kindergarten + Primary school",173
"Laticauda_saintgironsi","Kindergarten + Primary school",176
"Lemur_catta","Kindergarten + Primary school",39
"Lemur_catta2","Kindergarten + Primary school",32
"Leopardus_wiedii","Kindergarten + Primary school",31
"Leptailurus_serval","Kindergarten + Primary school",91
"Leptoptilos_crumenifer","Kindergarten + Primary school",133
"Libellula_quadrimaculata","Kindergarten + Primary school",189
"Litoria_infrafrenata","Kindergarten + Primary school",16
"Loris_tardigradus","Kindergarten + Primary school",12
"Loxodonta_africana","Kindergarten + Primary school",90
"Lycaon_pictus","Kindergarten + Primary school",122
"Lycaon_pictus2","Kindergarten + Primary school",101
"Lynx_rufus","Kindergarten + Primary school",147
"Lynx_rufus2","Kindergarten + Primary school",146
"Macaca_fuscata","Kindergarten + Primary school",113
"Macaca_silenus","Kindergarten + Primary school",78
"Macronectes_halli","Kindergarten + Primary school",219
"Macropus_rufogriseus","Kindergarten + Primary school",51
"Malayopython_reticulatus","Kindergarten + Primary school",63
"Malpolon_monspessulanus","Kindergarten + Primary school",57
"Mandrillus_sphinx","Kindergarten + Primary school",112
"Mandrillus_sphinx2","Kindergarten + Primary school",161
"Miopithecus_ogouensis","Kindergarten + Primary school",142
"Morelia_spilota","Kindergarten + Primary school",202
"Mungos_mungo","Kindergarten + Primary school",116
"Muscardinus_avellanarius","Kindergarten + Primary school",29
"Mygale","Kindergarten + Primary school",218
"Myocastor_coypus","Kindergarten + Primary school",178
"Naja_naja","Kindergarten + Primary school",211
"Nasua_narica","Kindergarten + Primary school",162
"Nasua_nasua","Kindergarten + Primary school",52
"Necrosyrtes_monachus","Kindergarten + Primary school",37
"Neofelis_nebulosa","Kindergarten + Primary school",120
"Nestor_meridionalis","Kindergarten + Primary school",25
"Notechis_scutatus","Kindergarten + Primary school",214
"Numida_meleagris","Kindergarten + Primary school",80
"Nyctereutes_procyonoides","Kindergarten + Primary school",97
"Odonata","Kindergarten + Primary school",175
"Odonata2","Kindergarten + Primary school",188
"Oryctolagus_cuniculus","Kindergarten + Primary school",30
"Oryctolagus_cuniculus2","Kindergarten + Primary school",41
"Otocolobus_manul","Kindergarten + Primary school",140
"Pamphagidae","Kindergarten + Primary school",184
"Pan_paniscus","Kindergarten + Primary school",203
"Pan_paniscus2","Kindergarten + Primary school",61
"Pan_paniscus3","Kindergarten + Primary school",215
"Pan_paniscus4","Kindergarten + Primary school",182
"Pan_troglodytes","Kindergarten + Primary school",174
"Pan_troglodytes2","Kindergarten + Primary school",70
"Panthera_leo","Kindergarten + Primary school",49
"Panthera_leo2","Kindergarten + Primary school",180
"Panthera_leo3","Kindergarten + Primary school",115
"Panthera_onca","Kindergarten + Primary school",59
"Panthera_onca_2","Kindergarten + Primary school",34
"Panthera_onca3","Kindergarten + Primary school",172
"Panthera_pardus","Kindergarten + Primary school",155
"Panthera_pardus_3","Kindergarten + Primary school",168
"Panthera_pardus2","Kindergarten + Primary school",163
"Panthera_tigris2","Kindergarten + Primary school",144
"Panthera_uncia","Kindergarten + Primary school",56
"Papillon","Kindergarten + Primary school",198
"Papio_hamadryas","Kindergarten + Primary school",149
"Pardofelis_temminckii","Kindergarten + Primary school",60
"Petroica_macrocephala","Kindergarten + Primary school",2
"Phacochoerus_africanus","Kindergarten + Primary school",197
"Phascolarctos_cinereus","Kindergarten + Primary school",9
"Phascolarctos_cinereus2","Kindergarten + Primary school",3
"Pholcus_phalangioides","Kindergarten + Primary school",88
"Pithecia pithecia","Kindergarten + Primary school",187
"Pithecia pithecia2","Kindergarten + Primary school",191
"Plathyrrhinus_fusciventris","Kindergarten + Primary school",21
"Podarcis_muralis","Kindergarten + Primary school",158
"Pogona_vitticeps","Kindergarten + Primary school",40
"Porphyrio_hochstetteri","Kindergarten + Primary school",170
"Procyon_lotor","Kindergarten + Primary school",62
"Propithecus_coquereli","Kindergarten + Primary school",72
"Propithecus_verreauxi","Kindergarten + Primary school",48
"Psittacus_erithacus","Kindergarten + Primary school",22
"Pteropus_conspicillatus","Kindergarten + Primary school",126
"Puma_concolor","Kindergarten + Primary school",66
"Python_bivittatus","Kindergarten + Primary school",121
"Python_regius","Kindergarten + Primary school",210
"Rattus_norvegicus","Kindergarten + Primary school",18
"Rhinopithecus_roxellana","Kindergarten + Primary school",157
